_id,COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_pop,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_a,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_I,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualt,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
78,Allegheny,54816,4200354816,North Braddock borough,4857,2486,2180,5,11,1,11,163,62,4320,1777,2165,1,16,0,40,321,109,-537,-709,-15,-4,5,-1,29,158,47,-11.10%,-28.50%,-0.70%,-80.00%,45.50%,-100.00%,263.60%,96.90%,75.80%
79,Allegheny,55016,4200355016,North Fayette township,13934,12941,397,18,347,6,47,178,197,16167,14151,514,17,489,7,188,801,436,2233,1210,117,-1,142,1,141,623,239,16.00%,9.40%,29.50%,-5.60%,40.90%,16.70%,300.00%,350.00%,121.30%
80,Allegheny,55488,4200355488,North Versailles township,10229,8483,1408,13,76,2,22,225,92,10074,7453,1872,12,63,2,87,585,202,-155,-1030,464,-1,-13,0,65,360,110,-1.50%,-12.10%,33.00%,-7.70%,-17.10%,0.00%,295.50%,160.00%,119.60%
81,Allegheny,55840,4200355840,Oakdale borough,1459,1411,23,1,5,0,3,16,10,1475,1351,26,2,7,0,1,88,17,16,-60,3,1,2,0,-2,72,7,1.10%,-4.30%,13.00%,100.00%,40.00%,,-66.70%,450.00%,70.00%
82,Allegheny,56088,4200356088,Oakmont borough,6303,6121,62,9,45,0,17,49,93,6758,6258,125,2,74,0,25,274,144,455,137,63,-7,29,0,8,225,51,7.20%,2.20%,101.60%,-77.80%,64.40%,,47.10%,459.20%,54.80%
83,Allegheny,56384,4200356384,O'Hara township,8407,7830,53,6,418,0,17,83,125,9284,7837,156,2,693,0,81,515,266,877,7,103,-4,275,0,64,432,141,10.40%,0.10%,194.30%,-66.70%,65.80%,,376.50%,520.50%,112.80%
84,Allegheny,56392,4200356392,Ohio township,4757,4461,87,0,149,0,11,49,81,7178,6468,142,3,234,4,46,281,133,2421,2007,55,3,85,4,35,232,52,50.90%,45.00%,63.20%,,57.00%,,318.20%,473.50%,64.20%
85,Allegheny,59032,4200359032,Penn Hills township,42329,25996,14631,89,321,3,232,1057,598,41059,21032,16753,56,316,5,488,2409,1019,-1270,-4964,2122,-33,-5,2,256,1352,421,-3.00%,-19.10%,14.50%,-37.10%,-1.60%,66.70%,110.30%,127.90%,70.40%
86,Allegheny,59152,4200359152,Pennsbury Village borough,661,641,10,0,4,0,1,5,8,677,631,13,0,10,0,0,23,10,16,-10,3,0,6,0,-1,18,2,2.40%,-1.60%,30.00%,,150.00%,,-100.00%,360.00%,25.00%
87,Allegheny,60272,4200360272,Pine township,11497,10701,143,13,460,1,48,131,220,14691,12484,222,11,1004,6,143,821,440,3194,1783,79,-2,544,5,95,690,220,27.80%,16.70%,55.20%,-15.40%,118.30%,500.00%,197.90%,526.70%,100.00%
88,Allegheny,60712,4200360712,Pitcairn borough,3294,2845,330,4,9,0,4,102,65,3101,2038,795,1,15,6,18,228,71,-193,-807,465,-3,6,6,14,126,6,-5.90%,-28.40%,140.90%,-75.00%,66.70%,,350.00%,123.50%,9.20%
89,Allegheny,61000,4200361000,Pittsburgh city,305704,201766,79710,584,13465,86,2405,7688,6964,302971,189948,69050,729,19836,116,5313,17979,11620,-2733,-11818,-10660,145,6371,30,2908,10291,4656,-0.90%,-5.90%,-13.40%,24.80%,47.30%,34.90%,120.90%,133.90%,66.90%
90,Allegheny,61328,4200361328,Pleasant Hills borough,8268,7837,226,3,108,2,20,72,86,8504,7520,270,6,357,0,41,310,148,236,-317,44,3,249,-2,21,238,62,2.90%,-4.00%,19.50%,100.00%,230.60%,-100.00%,105.00%,330.60%,72.10%
91,Allegheny,61536,4200361536,Plum borough,27126,25480,966,22,309,2,66,281,244,27144,24281,1201,22,327,6,180,1127,449,18,-1199,235,0,18,4,114,846,205,0.10%,-4.70%,24.30%,0.00%,5.80%,200.00%,172.70%,301.10%,84.00%
92,Allegheny,62320,4200362320,Port Vue borough,3798,3677,53,11,8,2,8,39,25,3680,3208,161,12,16,0,40,243,84,-118,-469,108,1,8,-2,32,204,59,-3.10%,-12.80%,203.80%,9.10%,100.00%,-100.00%,400.00%,523.10%,236.00%
93,Allegheny,63408,4200363408,Rankin borough,2122,383,1643,7,3,0,21,65,22,1896,260,1514,4,7,1,15,95,48,-226,-123,-129,-3,4,1,-6,30,26,-10.70%,-32.10%,-7.90%,-42.90%,133.30%,,-28.60%,46.20%,118.20%
